angle_deg,distance_mm
349.7861328125,415
350.337890625,411
350.7646484375,407
351.19140625,404
351.2431640625,401
351.544921875,398
352.3466796875,395
352.7001953125,373
353.376953125,367
353.6787109375,366
